epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.867,1.62363,5.64261,1.7116,0.50711,0.61473,0.5737,0.33846,1.36704,3.67381,1.37976,0.0001495,0.0001495,0.0001495
2,421.492,1.33887,2.42608,1.45908,0.72773,0.73863,0.82015,0.52677,1.29726,1.42032,1.33137,0.000295204,0.000295204,0.000295204
3,582.162,1.25769,1.8475,1.43159,0.78861,0.66894,0.79981,0.56162,1.09882,1.37489,1.25279,0.000434901,0.000434901,0.000434901
4,828.655,1.27373,1.58215,1.44497,0.89012,0.8411,0.93049,0.63508,1.12597,0.9296,1.31498,0.000427973,0.000427973,0.000427973
5,965.373,1.25016,1.4331,1.44528,0.85127,0.82781,0.92959,0.68822,0.9914,0.9796,1.21961,0.000418964,0.000418964,0.000418964
6,1197.21,1.16296,1.22318,1.37884,0.88458,0.89536,0.96063,0.69881,1.03562,0.75616,1.26447,0.000409955,0.000409955,0.000409955
7,1327.01,1.11623,1.0605,1.36092,0.83593,0.93089,0.96721,0.72926,0.93068,0.76579,1.15359,0.000400946,0.000400946,0.000400946
8,1554.63,1.08839,1.03152,1.33858,0.90674,0.93941,0.97134,0.76722,0.8228,0.67,1.13592,0.000391937,0.000391937,0.000391937
9,1724.05,1.053,0.96086,1.31313,0.93453,0.93008,0.97974,0.7604,0.88514,0.59928,1.18828,0.000382928,0.000382928,0.000382928
10,1950.31,1.04243,0.95397,1.30332,0.93857,0.90819,0.97941,0.74056,0.93593,0.63904,1.1827,0.000373919,0.000373919,0.000373919
11,2116.54,1.02425,0.85784,1.26687,0.91701,0.9661,0.9846,0.78758,0.80321,0.52679,1.08288,0.00036491,0.00036491,0.00036491
12,2364.45,1.01521,0.88813,1.28373,0.93625,0.96056,0.9859,0.78534,0.779,0.52452,1.09095,0.000355901,0.000355901,0.000355901
13,2506.64,0.9713,0.84017,1.26575,0.93747,0.93364,0.9773,0.81177,0.70092,0.54465,1.03944,0.000346892,0.000346892,0.000346892
14,2748.21,0.93766,0.81276,1.2493,0.93658,0.96408,0.98104,0.76502,0.86531,0.58324,1.15973,0.000337883,0.000337883,0.000337883
15,2946.76,0.93982,0.78821,1.22194,0.93051,0.96793,0.98687,0.79208,0.8253,0.49491,1.10258,0.000328874,0.000328874,0.000328874
16,3217.28,0.90482,0.75749,1.22052,0.97149,0.95863,0.97785,0.83773,0.61735,0.44045,0.9906,0.000319865,0.000319865,0.000319865
17,3396.72,0.91869,0.7166,1.21968,0.98165,0.96119,0.98066,0.79083,0.74264,0.45755,1.05544,0.000310856,0.000310856,0.000310856
18,3645.4,0.87108,0.68057,1.19456,0.92052,0.95687,0.98132,0.84491,0.62926,0.47048,0.99025,0.000301847,0.000301847,0.000301847
19,3802.24,0.86352,0.65736,1.17539,0.94747,0.97533,0.97974,0.8416,0.65153,0.43645,1.01049,0.000292838,0.000292838,0.000292838
20,4045.08,0.84274,0.67065,1.17124,0.97876,0.97161,0.98671,0.81502,0.72981,0.4148,1.0376,0.000283829,0.000283829,0.000283829
21,4227.45,0.8416,0.65019,1.17399,0.96312,0.97975,0.98658,0.837,0.62948,0.42373,1.00816,0.00027482,0.00027482,0.00027482
22,4433.73,0.83313,0.64219,1.16044,0.96814,0.97963,0.97998,0.85521,0.60078,0.39342,0.99568,0.000265811,0.000265811,0.000265811
23,4585.43,0.81524,0.59115,1.13968,0.96629,0.98536,0.98659,0.85577,0.60189,0.38956,0.97978,0.000256802,0.000256802,0.000256802
24,4824.91,0.82668,0.61997,1.16376,0.97885,0.98567,0.98744,0.87249,0.57103,0.38024,0.97647,0.000247793,0.000247793,0.000247793
25,4958.8,0.80256,0.58718,1.14031,0.97903,0.98852,0.98678,0.87499,0.54044,0.36329,0.94501,0.000238784,0.000238784,0.000238784
26,5166.92,0.77611,0.5901,1.11462,0.98345,0.97853,0.9873,0.85828,0.59476,0.3802,0.97798,0.000229775,0.000229775,0.000229775
27,5321.82,0.75117,0.55137,1.12117,0.96177,0.97119,0.98465,0.87675,0.52937,0.36474,0.94352,0.000220766,0.000220766,0.000220766
28,5478.54,0.75283,0.54256,1.11444,0.97201,0.98752,0.98692,0.87967,0.52786,0.34537,0.92754,0.000211757,0.000211757,0.000211757
29,5624.3,0.70781,0.5241,1.08408,0.97319,0.97626,0.9873,0.8803,0.53351,0.362,0.93267,0.000202748,0.000202748,0.000202748
30,5928.59,0.73751,0.53937,1.09405,0.96863,0.98879,0.98682,0.88687,0.52583,0.34355,0.9313,0.000193739,0.000193739,0.000193739
31,6062.51,0.69842,0.53139,1.08745,0.96796,0.98597,0.98692,0.89716,0.49758,0.32903,0.92131,0.00018473,0.00018473,0.00018473
32,6303.56,0.69389,0.50769,1.0649,0.97606,0.98108,0.98695,0.88858,0.52223,0.33316,0.91832,0.000175721,0.000175721,0.000175721
33,6480.64,0.72842,0.51232,1.12373,0.97816,0.98531,0.98702,0.90193,0.48631,0.3172,0.9216,0.000166712,0.000166712,0.000166712
34,6714.16,0.6848,0.48528,1.06279,0.98237,0.99027,0.98744,0.9055,0.46402,0.31966,0.90556,0.000157703,0.000157703,0.000157703
35,6896.9,0.68828,0.49046,1.07389,0.97802,0.98841,0.98692,0.90258,0.45848,0.31077,0.89409,0.000148694,0.000148694,0.000148694
36,7146.51,0.66342,0.48674,1.06682,0.98527,0.98546,0.98817,0.90461,0.46594,0.31364,0.89926,0.000139685,0.000139685,0.000139685
37,7325.43,0.65358,0.46907,1.04451,0.98023,0.98949,0.98706,0.91252,0.4471,0.29151,0.89137,0.000130676,0.000130676,0.000130676
38,7567.73,0.6167,0.44243,1.03773,0.98074,0.98772,0.98689,0.89752,0.45798,0.30217,0.89273,0.000121667,0.000121667,0.000121667
39,7706.47,0.63889,0.4537,1.04377,0.97684,0.99074,0.98785,0.91768,0.43331,0.29483,0.883,0.000112658,0.000112658,0.000112658
40,7942.46,0.61125,0.4187,1.03062,0.98364,0.9886,0.98753,0.917,0.44594,0.28663,0.88702,0.000103649,0.000103649,0.000103649
41,8095.49,0.51499,0.32448,0.99306,0.98394,0.98804,0.98719,0.90772,0.45731,0.3,0.88505,9.464e-05,9.464e-05,9.464e-05
42,8420.23,0.51997,0.32448,0.99823,0.98666,0.9856,0.98737,0.9035,0.46822,0.29172,0.89106,8.5631e-05,8.5631e-05,8.5631e-05
43,8547,0.50014,0.3163,0.97638,0.98452,0.99074,0.98724,0.91983,0.43423,0.28401,0.87477,7.6622e-05,7.6622e-05,7.6622e-05
44,8754.71,0.48632,0.30139,0.97825,0.98675,0.98484,0.98762,0.92101,0.42573,0.27934,0.87004,6.7613e-05,6.7613e-05,6.7613e-05
45,8920.21,0.46378,0.28926,0.94815,0.98732,0.98431,0.98753,0.92871,0.42026,0.26996,0.87638,5.8604e-05,5.8604e-05,5.8604e-05
46,9061.87,0.45641,0.28804,0.95464,0.98804,0.98451,0.98744,0.92816,0.41206,0.26548,0.87119,4.9595e-05,4.9595e-05,4.9595e-05
47,9220.21,0.43291,0.27941,0.93744,0.98691,0.98588,0.98773,0.92881,0.41101,0.26345,0.8742,4.0586e-05,4.0586e-05,4.0586e-05
48,9358.57,0.43662,0.31798,0.93725,0.98708,0.99021,0.98762,0.93015,0.39642,0.2584,0.86573,3.1577e-05,3.1577e-05,3.1577e-05
49,9474.27,0.41982,0.27324,0.92833,0.98786,0.98996,0.98753,0.93939,0.39341,0.26025,0.86497,2.2568e-05,2.2568e-05,2.2568e-05
50,9724.47,0.41415,0.26906,0.93635,0.98896,0.99074,0.98737,0.93094,0.39698,0.25998,0.86517,1.3559e-05,1.3559e-05,1.3559e-05
